#Class	OvrStry	Rarc	Rmin	JAN-LAI	FEB-LAI	MAR-LAI	APR-LAI	MAY-LAI	JUN-LAI	JUL-LAI	AUG-LAI	SEP-LAI	OCT-LAI	NOV-LAI	DEC-LAI	JAN-ALB	FEB_ALB	MAR-ALB	APR-ALB	MAY-ALB	JUN-ALB	JUL-ALB	AUG-ALB	SEP-ALB	OCT-ALB	NOV-ALB	DEC-ALB	JAN-ROU	FEB-ROU	MAR-ROU	APR-ROU	MAY-ROU	JUN-ROU	JUL-ROU	AUG-ROU	SEP-ROU	OCT-ROU	NOV-ROU	DEC-ROU	JAN-DIS	FEB-DIS	MAR-DIS	APR-DIS	MAY-DIS	JUN-DIS	JUL-DIS	AUG-DIS	SEP-DIS	OCT-DIS	NOV-DIS	DEC-DIS	WIND_H	RGL	rad_atten	wind_atten	truck_ratio
1	0	0	150	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.140	0.140	0.140	0.140	0.140	0.140	0.140	0.140	0.140	0.140	0.140	0.140	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	50	0.5	0.5	0.2
2	0	25	80	0.600	1.250	2.937	3.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.382	0.160	0.160	0.160	0.160	0.160	0.139	0.128	0.125	0.124	0.136	0.148	0.160	0.027	0.056	0.132	0.135	0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.017	0.147	0.305	0.718	0.737	0.293	0.000	0.000	0.000	0.000	0.000	0.000	0.093	4	100	0.5	0.5	0.2
3	0	25	80	0.000	0.000	2.500	3.800	3.500	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.160	0.160	0.160	0.160	0.160	0.139	0.128	0.125	0.124	0.136	0.148	0.160	0.000	0.000	0.052	0.246	0.194	0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.219	0.365	0.402	0.292	0.000	0.000	0.000	0.000	0.000	0.000	4	100	0.5	0.5	0.2
4	0	25	80	0.621	1.078	1.131	0.684	0.443	0.347	0.621	1.078	1.131	0.684	0.443	0.347	0.160	0.160	0.160	0.160	0.160	0.139	0.128	0.125	0.124	0.136	0.148	0.160	0.025	0.043	0.025	0.018	0.012	0.012	0.025	0.043	0.025	0.018	0.012	0.120	0.134	0.235	0.134	0.101	0.067	0.067	0.134	0.235	0.134	0.101	0.067	0.067	2	100	0.5	0.5	0.2
5	1	60	100	2.500	1.800	1.500	1.700	2.550	2.815	3.000	3.500	4.000	4.400	4.000	3.000	0.114	0.115	0.115	0.123	0.125	0.110	0.105	0.105	0.105	0.120	0.120	0.118	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	6.700	6.700	6.700	6.700	6.700	6.700	6.700	6.700	6.700	6.700	6.700	6.700	12	50	0.5	0.5	0.2
6	1	60	120	3.400	3.400	3.300	3.200	3.000	3.000	3.500	4.500	5.200	4.800	4.200	3.500	0.125	0.125	0.125	0.125	0.125	0.123	0.120	0.120	0.120	0.125	0.125	0.125	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	8.040	8.040	8.040	8.040	8.040	8.040	8.040	8.040	8.040	8.040	8.040	8.040	14	30	0.5	0.5	0.2
7	1	50	120	2.500	2.200	1.800	1.200	1.200	1.760	2.650	3.200	4.200	4.000	3.500	3.200	0.155	0.155	0.160	0.160	0.160	0.160	0.150	0.140	0.140	0.145	0.150	0.150	0.861	0.861	0.861	0.861	0.861	1.230	1.230	1.230	1.230	1.230	1.230	0.984	4.690	4.690	4.690	4.690	4.690	6.700	6.700	6.700	6.700	6.700	6.700	5.360	12	30	0.5	0.5	0.2
8	0	50	150	0.621	1.078	1.131	0.684	0.443	0.347	0.621	1.078	1.131	0.684	0.443	0.347	0.230	0.230	0.240	0.250	0.250	0.250	0.200	0.200	0.200	0.200	0.220	0.230	0.025	0.043	0.025	0.018	0.012	0.012	0.025	0.043	0.025	0.018	0.012	0.120	0.134	0.235	0.134	0.101	0.067	0.067	0.134	0.235	0.134	0.101	0.067	0.067	2	75	0.5	0.5	0.2
9	0	0	175	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	30	0.5	0.5	0.2
10	0	25	80	1.250	1.000	1.000	1.000	1.000	1.000	1.500	2.500	2.750	2.750	2.500	1.500	0.130	0.130	0.130	0.130	0.130	0.120	0.120	0.120	0.120	0.120	0.125	0.130	0.034	0.027	0.027	0.027	0.027	0.027	0.040	0.067	0.074	0.074	0.067	0.040	0.183	0.146	0.146	0.146	0.146	0.146	0.219	0.365	0.402	0.402	0.365	0.219	2.6	30	0.5	0.5	0.2
