#Class	OvrStry	Rarc	Rmin	JAN-LAI	FEB-LAI	MAR-LAI	APR-LAI	MAY-LAI	JUN-LAI	JUL-LAI	AUG-LAI	SEP-LAI	OCT-LAI	NOV-LAI	DEC-LAI	JAN-ALB	FEB_ALB	MAR-ALB	APR-ALB	MAY-ALB	JUN-ALB	JUL-ALB	AUG-ALB	SEP-ALB	OCT-ALB	NOV-ALB	DEC-ALB	JAN-ROU	FEB-ROU	MAR-ROU	APR-ROU	MAY-ROU	JUN-ROU	JUL-ROU	AUG-ROU	SEP-ROU	OCT-ROU	NOV-ROU	DEC-ROU	JAN-DIS	FEB-DIS	MAR-DIS	APR-DIS	MAY-DIS	JUN-DIS	JUL-DIS	AUG-DIS	SEP-DIS	OCT-DIS	NOV-DIS	DEC-DIS	WIND_H	RGL	rad_atten	wind_atten	truck_ratio
1	0	0	150	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.140	0.140	0.140	0.140	0.140	0.140	0.140	0.140	0.140	0.140	0.140	0.140	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	50	0.5	0.5	0.2
2	1	60	100	2.50	1.80	1.50	1.70	2.55	2.82	3.00	3.50	4.00	4.40	4.00	3.00	0.114	0.115	0.115	0.123	0.125	0.110	0.105	0.105	0.105	0.120	0.120	0.118	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	1.230	6.700	6.700	6.700	6.700	6.700	6.700	6.700	6.700	6.700	6.700	6.700	6.700	12	50	0.5	0.5	0.2
3	1	60	120	3.40	3.40	3.30	3.20	3.00	3.00	3.50	4.50	5.20	4.80	4.20	3.50	0.125	0.125	0.125	0.125	0.125	0.123	0.120	0.120	0.120	0.125	0.125	0.125	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	8.040	8.040	8.040	8.040	8.040	8.040	8.040	8.040	8.040	8.040	8.040	8.040	14	30	0.5	0.5	0.2
4	1	50	120	2.50	2.20	1.80	1.20	1.20	1.76	2.65	3.20	4.20	4.00	3.50	3.20	0.155	0.155	0.160	0.160	0.160	0.160	0.150	0.140	0.140	0.145	0.150	0.150	0.861	0.861	0.861	0.861	0.861	1.230	1.230	1.230	1.230	1.230	1.230	0.984	4.690	4.690	4.690	4.690	4.690	6.700	6.700	6.700	6.700	6.700	6.700	5.360	12	30	0.5	0.5	0.2
5	0	50	120	0.50	0.50	0.40	0.30	0.30	1.10	1.65	2.50	2.75	2.50	2.10	1.50	0.140	0.140	0.140	0.140	0.140	0.130	0.125	0.125	0.125	0.130	0.130	0.140	0.034	0.034	0.027	0.020	0.020	0.074	0.111	0.168	0.185	0.168	0.141	0.101	0.183	0.183	0.146	0.110	0.110	0.402	0.603	0.914	1.005	0.914	0.767	0.548	3.5	75	0.5	0.5	0.2
6	0	0	175	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	30	0.5	0.5	0.2
7	0	25	80	1.25	1.00	1.00	1.00	1.00	1.00	1.50	2.50	2.75	2.75	2.50	1.50	0.130	0.130	0.130	0.130	0.130	0.120	0.120	0.120	0.120	0.120	0.125	0.130	0.034	0.027	0.027	0.027	0.027	0.027	0.040	0.067	0.074	0.074	0.067	0.040	0.183	0.146	0.146	0.146	0.146	0.146	0.219	0.365	0.402	0.402	0.365	0.219	2.6	30	0.5	0.5	0.2
8	0	0	150	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.230	0.230	0.240	0.250	0.250	0.250	0.200	0.200	0.200	0.200	0.220	0.230	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	75	0.5	0.5	0.2
9	0	0	150	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.230	0.230	0.240	0.250	0.250	0.250	0.200	0.200	0.200	0.200	0.220	0.230	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	75	0.5	0.5	0.2
10	0	50	150	0.00	0.00	0.00	0.00	0.00	0.35	0.62	1.08	1.13	0.68	0.44	0.00	0.230	0.230	0.240	0.250	0.250	0.250	0.200	0.200	0.200	0.200	0.220	0.230	0.000	0.000	0.000	0.000	0.000	0.012	0.025	0.043	0.025	0.018	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.067	0.134	0.235	0.134	0.101	0.067	0.000	2	75	0.5	0.5	0.2
